time/total_timesteps,time/fps,time/iterations,train/reward,time/time_elapsed,train/clip_range,train/value_loss,train/std,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_fraction
122880,76,60,-3.0679743,1613,0.2,98.83420622348785,1.106604814529419,0.035716087,46.956607818603516,-44.023602271080016,0.00025,0.010538542727590538,-0.005837559700012207,590,0.444287109375
124928,76,61,0.31405145,1640,0.2,15.426298868656158,1.1078152656555176,0.03208083,6.906839370727539,-44.086240434646605,0.00025,-0.009819236428302246,0.016763627529144287,600,0.31748046875
126976,76,62,-0.32067525,1667,0.2,139.0535505771637,1.1085048913955688,0.0220385,84.83435821533203,-44.11318805217743,0.00025,-0.006950886879349127,-0.004753232002258301,610,0.30146484375
129024,76,63,-1.4276301,1693,0.2,227.00901379585267,1.1101090908050537,0.041624434,181.63099670410156,-44.133733892440794,0.00025,-0.0021459273470100016,0.015750765800476074,620,0.339990234375
131072,76,64,0.33955124,1720,0.2,16.990997862815856,1.1125437021255493,0.040438965,8.801694869995117,-44.19833703041077,0.00025,-0.008728966952185146,0.06230580806732178,630,0.345556640625
133120,76,65,-0.31155184,1747,0.2,119.5501665353775,1.1145261526107788,0.02059929,53.388221740722656,-44.25103154182434,0.00025,-0.011973596600000747,0.05071955919265747,640,0.2216796875
135168,76,66,3.6183622,1774,0.2,83.3134124994278,1.1164638996124268,0.037843898,37.785396575927734,-44.29556634426117,0.00025,0.0006827236880781129,0.019952356815338135,650,0.304931640625
137216,76,67,1.0933055,1801,0.2,14.881180959939957,1.1167352199554443,0.02361074,6.478113651275635,-44.33726007938385,0.00025,-0.006017932642134838,0.05670201778411865,660,0.23310546875
139264,76,68,1.2085576,1828,0.2,70.40646862983704,1.1184314489364624,0.030433882,48.6780891418457,-44.35468287467957,0.00025,0.003337744445889257,0.010977447032928467,670,0.268896484375
141312,76,69,17.451817,1854,0.2,100.81239368915558,1.1189640760421753,0.026451226,50.79169464111328,-44.38538131713867,0.00025,-0.0043853380338987336,0.02686983346939087,680,0.203466796875
143360,76,70,-0.97782874,1881,0.2,30.904353988170623,1.12106192111969,0.03916841,18.299001693725586,-44.40236210823059,0.00025,0.010050253990630153,-0.020938754081726074,690,0.363623046875
145408,76,71,-1.0704424,1908,0.2,121.28501889705657,1.1226515769958496,0.01941311,61.49882507324219,-44.47399091720581,0.00025,-0.0036979308133595623,0.04511666297912598,700,0.221044921875
147456,76,72,1.8933566,1934,0.2,107.39395110607147,1.1244508028030396,0.024699982,46.28532409667969,-44.50697906017304,0.00025,-0.0060676992638036605,0.08474141359329224,710,0.26162109375
149504,76,73,1.8288903,1962,0.2,31.750174468755723,1.1262949705123901,0.027734047,8.910608291625977,-44.55665421485901,0.00025,-0.005571709934156388,0.14083778858184814,720,0.26982421875
151552,76,74,-1.4404361,1989,0.2,41.3975468993187,1.1275660991668701,0.04305979,22.742752075195312,-44.58900761604309,0.00025,-0.006316057227377314,0.05398029088973999,730,0.305078125
153600,76,75,-1.1103075,2015,0.2,38.49720731973648,1.1295313835144043,0.020139476,14.050069808959961,-44.6402312040329,0.00025,-0.00948851055582054,0.17242729663848877,740,0.2630859375
155648,76,76,-1.0901463,2042,0.2,23.453927022218704,1.133105993270874,0.040191237,11.187430381774902,-44.7039968252182,0.00025,-0.0008616907784016803,0.10978865623474121,750,0.391650390625
157696,76,77,0.9533616,2069,0.2,21.279822498559952,1.1341973543167114,0.024103066,11.86635684967041,-44.76892478466034,0.00025,-0.009517634495568927,0.14004921913146973,760,0.22294921875
159744,76,78,0.24817225,2096,0.2,52.31543865203857,1.1361603736877441,0.024365928,19.626850128173828,-44.80537362098694,0.00025,0.00139318694054964,0.09724974632263184,770,0.233154296875
161792,76,79,1.0219933,2123,0.2,37.23451389074326,1.1373051404953003,0.030951327,19.912294387817383,-44.85294206142426,0.00025,-0.0075159760803217065,0.09200125932693481,780,0.325048828125
163840,76,80,-0.7275813,2150,0.2,35.92541333436966,1.1382023096084595,0.03320966,28.732006072998047,-44.87555084228516,0.00025,-0.01252423856058158,0.12927532196044922,790,0.326513671875
165888,76,81,-1.9891998,2176,0.2,73.06755282878876,1.1402093172073364,0.0310133,43.48286056518555,-44.907903623580935,0.00025,-0.00813113986805547,0.1555086374282837,800,0.216015625
167936,76,82,0.3873585,2202,0.2,75.15550680160523,1.14166259765625,0.034979407,22.816255569458008,-44.9519150018692,0.00025,-0.0014522584286169149,0.027886927127838135,810,0.32890625
169984,76,83,-1.2159423,2229,0.2,45.346848380565646,1.1421535015106201,0.01787055,9.933477401733398,-44.97795572280884,0.00025,-0.008322085386316758,-0.0474318265914917,820,0.14951171875
172032,76,84,4.803238,2255,0.2,75.82912061214446,1.1441318988800049,0.027332557,34.804256439208984,-45.00801861286163,0.00025,-0.004063794236571994,0.13279396295547485,830,0.257568359375
174080,76,85,-0.5150535,2282,0.2,45.59515695571899,1.1447856426239014,0.019159159,19.424949645996094,-45.04811365604401,0.00025,-0.004215026553720236,0.15774428844451904,840,0.2125
176128,76,86,-0.06719171,2309,0.2,30.235200494527817,1.1470577716827393,0.038010225,17.237577438354492,-45.0741662979126,0.00025,-0.004359105217736215,0.027188599109649658,850,0.21884765625
178176,76,87,5.9097257,2335,0.2,58.66412155628204,1.1474045515060425,0.029295072,41.73785400390625,-45.11989915370941,0.00025,-0.0012095890182536096,0.11800730228424072,860,0.3134765625
180224,76,88,2.7047572,2362,0.2,72.69395709037781,1.148359775543213,0.031300984,45.115394592285156,-45.1308730840683,0.00025,0.007837298508093227,0.07705837488174438,870,0.331201171875
182272,76,89,-0.31799185,2388,0.2,20.92847936153412,1.1494179964065552,0.036640238,9.355640411376953,-45.15521898269653,0.00025,0.00024685705138836054,0.1616012454032898,880,0.216259765625
184320,76,90,-0.22101292,2415,0.2,138.9448648929596,1.1516387462615967,0.027235027,60.06973648071289,-45.20505096912384,0.00025,0.00024569395900471137,0.07222950458526611,890,0.28994140625
186368,76,91,-1.0636519,2441,0.2,76.05864162445069,1.1558014154434204,0.026774107,41.6765251159668,-45.276619696617125,0.00025,-0.004619789612479508,0.08728086948394775,900,0.305712890625
188416,76,92,-1.752693,2468,0.2,16.30382647514343,1.1585060358047485,0.034968823,7.079176425933838,-45.36080796718598,0.00025,0.002061616428545676,0.07372236251831055,910,0.40458984375
190464,76,93,-0.79242176,2495,0.2,83.08872804641723,1.1615108251571655,0.022225473,43.603790283203125,-45.42272329330444,0.00025,-0.010982287432125305,0.03647589683532715,920,0.220849609375
192512,76,94,-1.3830638,2521,0.2,104.8204502105713,1.1616241931915283,0.021476222,42.955020904541016,-45.4781014919281,0.00025,-0.0011570695074624381,0.030656039714813232,930,0.205859375
194560,76,95,0.63997525,2548,0.2,14.779732418060302,1.1628895998001099,0.024445552,7.025924205780029,-45.48821060657501,0.00025,0.0013177025743061677,0.22590136528015137,940,0.320166015625
196608,76,96,2.6481264,2575,0.2,72.57991886138916,1.164263129234314,0.028851155,49.99761962890625,-45.51685264110565,0.00025,-0.00440404438850237,0.09124702215194702,950,0.246142578125
198656,76,97,-0.12529936,2602,0.2,124.08230030536652,1.1653987169265747,0.01914268,68.88074493408203,-45.54929180145264,0.00025,-0.007695221767062321,0.09693431854248047,960,0.18955078125
200704,76,98,2.3632782,2629,0.2,18.475318878889084,1.166187047958374,0.021090679,8.350249290466309,-45.57179219722748,0.00025,-0.0013812018994940444,0.08383458852767944,970,0.15048828125
